x,u_m,u_mm,M,,
0.153,-9.46E-07,-0.000945757,75.80037833,,
0.154,-9.58E-07,-0.000957965,75.75191333,,
0.155,-9.70E-07,-0.00097025,75.70345833,,
0.156,-9.83E-07,-0.00098261,75.65501333,,
0.157,-9.95E-07,-0.000995046,75.60657833,,
0.158,-1.01E-06,-0.001007557,75.55815333,,
0.159,-1.02E-06,-0.001020144,75.50973833,,
0.16,-1.03E-06,-0.001032806,75.46133333,,
0.161,-1.05E-06,-0.001045544,75.41293833,,
0.162,-1.06E-06,-0.001058358,75.36455333,,
0.163,-1.07E-06,-0.001071246,75.31617833,,
0.164,-1.08E-06,-0.00108421,75.26781333,,
0.165,-1.10E-06,-0.001097249,75.21945833,,
0.166,-1.11E-06,-0.001110364,75.17111333,,
0.167,-1.12E-06,-0.001123554,75.12277833,,
0.168,-1.14E-06,-0.001136818,75.07445333,,
0.169,-1.15E-06,-0.001150158,75.02613833,,
0.17,-1.16E-06,-0.001163573,74.97783333,,
0.171,-1.18E-06,-0.001177063,74.92953833,,
0.172,-1.19E-06,-0.001190628,74.88125333,,
0.173,-1.20E-06,-0.001204267,74.83297833,,
0.174,-1.22E-06,-0.001217982,74.78471333,,
0.175,-1.23E-06,-0.001231771,74.73645833,,
0.176,-1.25E-06,-0.001245635,74.68821333,,
0.177,-1.26E-06,-0.001259574,74.63997833,,
0.178,-1.27E-06,-0.001273587,74.59175333,,
0.179,-1.29E-06,-0.001287675,74.54353833,,
0.18,-1.30E-06,-0.001301837,74.49533333,,
0.181,-1.32E-06,-0.001316074,74.44713833,,
0.182,-1.33E-06,-0.001330386,74.39895333,,
0.183,-1.34E-06,-0.001344772,74.35077833,,
0.184,-1.36E-06,-0.001359232,74.30261333,,
0.185,-1.37E-06,-0.001373766,74.25445833,,
0.186,-1.39E-06,-0.001388375,74.20631333,,
0.187,-1.40E-06,-0.001403058,74.15817833,,
0.188,-1.42E-06,-0.001417815,74.11005333,,
0.189,-1.43E-06,-0.001432646,74.06193833,,
0.19,-1.45E-06,-0.001447551,74.01383333,,
0.191,-1.46E-06,-0.001462531,73.96573833,,
0.192,-1.48E-06,-0.001477584,73.91765333,,
0.193,-1.49E-06,-0.001492711,73.86957833,,
0.194,-1.51E-06,-0.001507912,73.82151333,,
0.195,-1.52E-06,-0.001523187,73.77345833,,
0.196,-1.54E-06,-0.001538535,73.72541333,,
0.197,-1.55E-06,-0.001553958,73.67737833,,
0.198,-1.57E-06,-0.001569454,73.62935333,,
0.199,-1.59E-06,-0.001585023,73.58133833,,
0.2,-1.60E-06,-0.001600667,73.53333333,,
0.201,-1.62E-06,-0.001616383,73.48533833,,
0.202,-1.63E-06,-0.001632174,73.43735333,,
0.203,-1.65E-06,-0.001648037,73.38937833,,
0.204,-1.66E-06,-0.001663974,73.34141333,,
0.205,-1.68E-06,-0.001679985,73.29345833,,
0.206,-1.70E-06,-0.001696069,73.24551333,,
0.207,-1.71E-06,-0.001712225,73.19757833,,
0.208,-1.73E-06,-0.001728456,73.14965333,,
0.209,-1.74E-06,-0.001744759,73.10173833,,
0.21,-1.76E-06,-0.001761135,73.05383333,,
0.211,-1.78E-06,-0.001777585,73.00593833,,
0.212,-1.79E-06,-0.001794107,72.95805333,,
0.213,-1.81E-06,-0.001810703,72.91017833,,
0.214,-1.83E-06,-0.001827371,72.86231333,,
0.215,-1.84E-06,-0.001844112,72.81445833,,
0.216,-1.86E-06,-0.001860926,72.76661333,,
0.217,-1.88E-06,-0.001877813,72.71877833,,
0.218,-1.89E-06,-0.001894772,72.67095333,,
0.219,-1.91E-06,-0.001911805,72.62313833,,
0.22,-1.93E-06,-0.001928909,72.57533333,,
0.221,-1.95E-06,-0.001946087,72.52753833,,
0.222,-1.96E-06,-0.001963337,72.47975333,,
0.223,-1.98E-06,-0.001980659,72.43197833,,
0.224,-2.00E-06,-0.001998054,72.38421333,,
0.225,-2.02E-06,-0.002015521,72.33645833,,
0.226,-2.03E-06,-0.002033061,72.28871333,,
0.227,-2.05E-06,-0.002050672,72.24097833,,
0.228,-2.07E-06,-0.002068356,72.19325333,,
0.229,-2.09E-06,-0.002086113,72.14553833,,
0.23,-2.10E-06,-0.002103941,72.09783333,,
0.231,-2.12E-06,-0.002121841,72.05013833,,
0.232,-2.14E-06,-0.002139814,72.00245333,,
0.233,-2.16E-06,-0.002157859,71.95477833,,
0.234,-2.18E-06,-0.002175975,71.90711333,,
0.235,-2.19E-06,-0.002194163,71.85945833,,
0.236,-2.21E-06,-0.002212424,71.81181333,,
0.237,-2.23E-06,-0.002230756,71.76417833,,
0.238,-2.25E-06,-0.00224916,71.71655333,,
0.239,-2.27E-06,-0.002267635,71.66893833,,
0.24,-2.29E-06,-0.002286182,71.62133333,,
0.241,-2.30E-06,-0.002304801,71.57373833,,
0.242,-2.32E-06,-0.002323492,71.52615333,,
0.243,-2.34E-06,-0.002342254,71.47857833,,
0.244,-2.36E-06,-0.002361087,71.43101333,,
0.245,-2.38E-06,-0.002379992,71.38345833,,
0.246,-2.40E-06,-0.002398968,71.33591333,,
0.247,-2.42E-06,-0.002418016,71.28837833,,
0.248,-2.44E-06,-0.002437135,71.24085333,,
0.249,-2.46E-06,-0.002456325,71.19333833,,
0.25,-2.48E-06,-0.002475586,71.14583333,,
0.251,-2.49E-06,-0.002494918,71.09833833,,
0.252,-2.51E-06,-0.002514322,71.05085333,,
0.253,-2.53E-06,-0.002533797,71.00337833,,
0.254,-2.55E-06,-0.002553342,70.95591333,,
0.255,-2.57E-06,-0.002572959,70.90845833,,
0.256,-2.59E-06,-0.002592646,70.86101333,,
0.257,-2.61E-06,-0.002612404,70.81357833,,
0.258,-2.63E-06,-0.002632234,70.76615333,,
0.259,-2.65E-06,-0.002652133,70.71873833,,
0.26,-2.67E-06,-0.002672104,70.67133333,,
0.261,-2.69E-06,-0.002692145,70.62393833,,
0.262,-2.71E-06,-0.002712257,70.57655333,,
0.263,-2.73E-06,-0.00273244,70.52917833,,
0.264,-2.75E-06,-0.002752693,70.48181333,,
0.265,-2.77E-06,-0.002773016,70.43445833,,
0.266,-2.79E-06,-0.00279341,70.38711333,,
0.267,-2.81E-06,-0.002813875,70.33977833,,
0.268,-2.83E-06,-0.002834409,70.29245333,,
0.269,-2.86E-06,-0.002855014,70.24513833,,
0.27,-2.88E-06,-0.002875689,70.19783333,,
0.271,-2.90E-06,-0.002896435,70.15053833,,
0.272,-2.92E-06,-0.00291725,70.10325333,,
0.273,-2.94E-06,-0.002938136,70.05597833,,
0.274,-2.96E-06,-0.002959092,70.00871333,,
