x,u_m,u_mm,M,,,,,
-4.788,-1.79E-06,-0.001794107,72.95805333,,,,,
-4.787,-1.81E-06,-0.001810703,72.91017833,,,,,
-4.786,-1.83E-06,-0.001827371,72.86231333,,,,,
-4.785,-1.84E-06,-0.001844112,72.81445833,,,,,
-4.784,-1.86E-06,-0.001860926,72.76661333,,,,,
-4.783,-1.88E-06,-0.001877813,72.71877833,,,,,
-4.782,-1.89E-06,-0.001894772,72.67095333,,,,,
-4.781,-1.91E-06,-0.001911805,72.62313833,,,,,
-4.78,-1.93E-06,-0.001928909,72.57533333,,,,,
-4.779,-1.95E-06,-0.001946087,72.52753833,,,,,
-4.778,-1.96E-06,-0.001963337,72.47975333,,,,,
-4.777,-1.98E-06,-0.001980659,72.43197833,,,,,
-4.776,-2.00E-06,-0.001998054,72.38421333,,,,,
-4.775,-2.02E-06,-0.002015521,72.33645833,,,,,
-4.774,-2.03E-06,-0.002033061,72.28871333,,,,,
-4.773,-2.05E-06,-0.002050672,72.24097833,,,,,
-4.772,-2.07E-06,-0.002068356,72.19325333,,,,,
-4.771,-2.09E-06,-0.002086113,72.14553833,,,,,
-4.77,-2.10E-06,-0.002103941,72.09783333,,,,,
-4.769,-2.12E-06,-0.002121841,72.05013833,,,,,
-4.768,-2.14E-06,-0.002139814,72.00245333,,,,,
-4.767,-2.16E-06,-0.002157859,71.95477833,,,,,
-4.766,-2.18E-06,-0.002175975,71.90711333,,,,,
-4.765,-2.19E-06,-0.002194163,71.85945833,,,,,
-4.764,-2.21E-06,-0.002212424,71.81181333,,,,,
-4.763,-2.23E-06,-0.002230756,71.76417833,,,,,
-4.762,-2.25E-06,-0.00224916,71.71655333,,,,,
-4.761,-2.27E-06,-0.002267635,71.66893833,,,,,
-4.76,-2.29E-06,-0.002286182,71.62133333,,,,,
-4.759,-2.30E-06,-0.002304801,71.57373833,,,,,
-4.758,-2.32E-06,-0.002323492,71.52615333,,,,,
-4.757,-2.34E-06,-0.002342254,71.47857833,,,,,
-4.756,-2.36E-06,-0.002361087,71.43101333,,,,,
-4.755,-2.38E-06,-0.002379992,71.38345833,,,,,
-4.754,-2.40E-06,-0.002398968,71.33591333,,,,,
-4.753,-2.42E-06,-0.002418016,71.28837833,,,,,
-4.752,-2.44E-06,-0.002437135,71.24085333,,,,,
-4.751,-2.46E-06,-0.002456325,71.19333833,,,,,
-4.75,-2.48E-06,-0.002475586,71.14583333,,,,,
-4.749,-2.49E-06,-0.002494918,71.09833833,,,,,
-4.748,-2.51E-06,-0.002514322,71.05085333,,,,,
-4.747,-2.53E-06,-0.002533797,71.00337833,,,,,
-4.746,-2.55E-06,-0.002553342,70.95591333,,,,,
-4.745,-2.57E-06,-0.002572959,70.90845833,,,,,
-4.744,-2.59E-06,-0.002592646,70.86101333,,,,,
-4.743,-2.61E-06,-0.002612404,70.81357833,,,,,
-4.742,-2.63E-06,-0.002632234,70.76615333,,,,,
-4.741,-2.65E-06,-0.002652133,70.71873833,,,,,
-4.74,-2.67E-06,-0.002672104,70.67133333,,,,,
-4.739,-2.69E-06,-0.002692145,70.62393833,,,,,
-4.738,-2.71E-06,-0.002712257,70.57655333,,,,,
-4.737,-2.73E-06,-0.00273244,70.52917833,,,,,
-4.736,-2.75E-06,-0.002752693,70.48181333,,,,,
-4.735,-2.77E-06,-0.002773016,70.43445833,,,,,
-4.734,-2.79E-06,-0.00279341,70.38711333,,,,,
-4.733,-2.81E-06,-0.002813875,70.33977833,,,,,
-4.732,-2.83E-06,-0.002834409,70.29245333,,,,,
-4.731,-2.86E-06,-0.002855014,70.24513833,,,,,
-4.73,-2.88E-06,-0.002875689,70.19783333,,,,,
-4.729,-2.90E-06,-0.002896435,70.15053833,,,,,
-4.728,-2.92E-06,-0.00291725,70.10325333,,,,,
-4.727,-2.94E-06,-0.002938136,70.05597833,,,,,
-4.726,-2.96E-06,-0.002959092,70.00871333,,,,,
-4.725,-2.98E-06,-0.002980117,69.96145833,,,,,
-4.724,-3.00E-06,-0.003001213,69.91421333,,,,,
-4.723,-3.02E-06,-0.003022379,69.86697833,,,,,
-4.722,-3.04E-06,-0.003043614,69.81975333,,,,,
-4.721,-3.06E-06,-0.003064919,69.77253833,,,,,
-4.72,-3.09E-06,-0.003086294,69.72533333,,,,,
-4.719,-3.11E-06,-0.003107739,69.67813833,,,,,
-4.718,-3.13E-06,-0.003129254,69.63095333,,,,,
-4.717,-3.15E-06,-0.003150838,69.58377833,,,,,
-4.716,-3.17E-06,-0.003172491,69.53661333,,,,,
-4.715,-3.19E-06,-0.003194215,69.48945833,,,,,
-4.714,-3.22E-06,-0.003216007,69.44231333,,,,,
-4.713,-3.24E-06,-0.003237869,69.39517833,,,,,
-4.712,-3.26E-06,-0.003259801,69.34805333,,,,,
-4.711,-3.28E-06,-0.003281802,69.30093833,,,,,
-4.71,-3.30E-06,-0.003303872,69.25383333,,,,,
-4.709,-3.33E-06,-0.003326011,69.20673833,,,,,
-4.708,-3.35E-06,-0.00334822,69.15965333,,,,,
-4.707,-3.37E-06,-0.003370498,69.11257833,,,,,
-4.706,-3.39E-06,-0.003392845,69.06551333,,,,,
-4.705,-3.42E-06,-0.003415261,69.01845833,,,,,
-4.704,-3.44E-06,-0.003437746,68.97141333,,,,,
-4.703,-3.46E-06,-0.0034603,68.92437833,,,,,
-4.702,-3.48E-06,-0.003482923,68.87735333,,,,,
-4.701,-3.51E-06,-0.003505614,68.83033833,,,,,
-4.7,-3.53E-06,-0.003528375,68.78333333,,,,,
-4.699,-3.55E-06,-0.003551204,68.73633833,,,,,
-4.698,-3.57E-06,-0.003574103,68.68935333,,,,,
-4.697,-3.60E-06,-0.003597069,68.64237833,,,,,
-4.696,-3.62E-06,-0.003620105,68.59541333,,,,,
-4.695,-3.64E-06,-0.003643209,68.54845833,,,,,
-4.694,-3.67E-06,-0.003666381,68.50151333,,,,,
-4.693,-3.69E-06,-0.003689623,68.45457833,,,,,
-4.692,-3.71E-06,-0.003712932,68.40765333,,,,,
-4.691,-3.74E-06,-0.00373631,68.36073833,,,,,
-4.69,-3.76E-06,-0.003759756,68.31383333,,,,,
-4.689,-3.78E-06,-0.003783271,68.26693833,,,,,
-4.688,-3.81E-06,-0.003806854,68.22005333,,,,,
-4.687,-3.83E-06,-0.003830505,68.17317833,,,,,
-4.686,-3.85E-06,-0.003854224,68.12631333,,,,,
